Year,Date,Observers,Site,Observation,Time,Visitor,Flowers per Plant,Total Visits,PlantID,Visit Date
2002,1,2,T,Hour,60,Hummingbird,10,3,3,6/17/2002
2002,1,2,T,Hour,60,Hummingbird,5,2,14,6/17/2002
2002,1,2,T,Hour,60,Hummingbird,5,1,15,6/17/2002
2002,1,2,T,Hour,60,Hummingbird,2,2,13,6/17/2002
2002,1,2,V,Hour,60,Hummingbird,6,2,4,6/17/2002
2002,1,2,V,Hour,60,Hummingbird,2,2,3,6/17/2002
2002,1,2,V,Hour,60,Hummingbird,2,3,14,6/17/2002
2002,1,2,V,Hour,60,Hummingbird,12,9,15,6/17/2002
2002,1,2,V,Hour,60,Hummingbird,10,5,18,6/17/2002
2002,2,2,P,Hour,60,Butterfly,10,3,9,6/19/2002
2002,2,2,T,Hour,60,Butterfly,12,2,6,6/19/2002
2002,3,2,V,Hour,60,Hummingbird,6,5,23,6/21/2002
2002,3,2,V,Hour,60,Hummingbird,8,2,20,6/21/2002
2002,3,2,V,Hour,60,Hummingbird,12,15,9,6/21/2002
2002,5,2,T,Hour,60,Hummingbird,11,8,22,6/26/2002
2002,6,2,V,Hour,60,Hummingbird,11,6,23,6/28/2002
2002,6,2,V,Hour,60,Hummingbird,21,9,24,6/28/2002
2002,6,2,V,Hour,60,Hummingbird,17,11,25,6/28/2002
2002,6,2,V,Hour,60,Hummingbird,14,7,22,6/28/2002
2002,8,2,P,Hour,60,Hummingbird,4,3,1,7/3/2002
2002,8,2,P,Hour,60,Hummingbird,1,1,2,7/3/2002
2002,8,2,P,Hour,60,Hummingbird,4,2,3,7/3/2002
2002,8,2,P,Hour,60,Hummingbird,4,3,13,7/3/2002
2002,8,2,P,Hour,60,Hummingbird,12,11,16,7/3/2002
2002,8,2,P,Hour,60,Hummingbird,4,3,15,7/3/2002
2002,8,2,P,Hour,60,Hummingbird,3,9,26,7/3/2002
2002,8,2,V,Hour,60,Butterfly,9,3,3,7/3/2002
2002,8,2,V,Hour,60,Hummingbird,3,4,11,7/3/2002
2002,8,2,V,Hour,60,Hummingbird,12,6,12,7/3/2002
2002,8,2,V,Hour,60,Hummingbird,9,2,3,7/3/2002
2002,9,2,V,Hour,60,Hummingbird,4,2,23,7/5/2002
2002,9,2,V,Hour,60,Hummingbird,4,8,23,7/5/2002
2002,9,2,V,Hour,60,Hummingbird,22,19,25,7/5/2002
2002,9,2,V,Hour,60,Hummingbird,14,5,26,7/5/2002
2002,10,2,T,Hour,60,Hummingbird,9,1,19,7/8/2002
2002,10,2,T,Hour,60,Hummingbird,43,26,2,7/8/2002
2002,11,2,V,Hour,60,Hummingbird,7,2,19,7/10/2002
2002,11,2,V,Hour,60,Hummingbird,5,1,18,7/10/2002
2002,11,2,V,Hour,60,Hummingbird,10,8,16,7/10/2002
2002,11,2,V,Hour,60,Hummingbird,3,2,23,7/10/2002
2002,11,2,V,Hour,60,Hummingbird,6,2,6,7/10/2002
2002,11,2,V,Hour,60,Hummingbird,16,8,14,7/10/2002
2002,11,2,V,Hour,60,Hummingbird,10,6,13,7/10/2002
2002,11,2,V,Hour,60,Hummingbird,5,5,18,7/10/2002
2002,11,2,T,Hour,60,Hummingbird,4,2,16,7/10/2002
2002,12,2,V,Hour,60,Hummingbird,8,2,17,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,2,5,18,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,15,1,14,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,11,1,13,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,2,1,2,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,10,2,7,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,15,12,3,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,15,7,14,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,2,1,18,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,6,4,12,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,6,4,21,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,4,2,24,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,4,1,24,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,10,4,7,7/12/2002
2002,12,2,V,Hour,60,Hummingbird,6,3,6,7/12/2002
2002,13,2,T,Hour,60,Hummingbird,1,3,7,7/15/2002
2002,13,2,T,Hour,60,Hummingbird,1,1,7,7/15/2002
2002,13,2,P,Hour,60,Hummingbird,9,2,16,7/15/2002
2002,13,2,P,Hour,60,Hummingbird,8,3,17,7/15/2002
2002,13,2,P,Hour,60,Hummingbird,2,1,21,7/15/2002
2002,13,2,P,Hour,60,Hummingbird,7,3,25,7/15/2002
2002,13,2,P,Hour,60,Hummingbird,4,2,26,7/15/2002
2002,13,2,P,Hour,60,Hummingbird,3,3,27,7/15/2002
2002,13,2,V,Hour,60,Hummingbird,3,1,12,7/15/2002
2002,13,2,V,Hour,60,Hummingbird,3,5,15,7/15/2002
2002,13,2,V,Hour,60,Hummingbird,4,4,6,7/15/2002
2002,13,2,V,Hour,60,Hummingbird,17,4,25,7/15/2002
2002,13,2,V,Hour,60,Hummingbird,17,3,25,7/15/2002
2002,13,2,V,Hour,60,Hummingbird,5,3,21,7/15/2002
2002,13,2,V,Hour,60,Hummingbird,17,3,14,7/15/2002
2002,13,2,V,Hour,60,Hummingbird,18,4,13,7/15/2002
2002,13,2,V,Hour,60,Hummingbird,6,3,17,7/15/2002
2002,14,2,P,Hour,60,Hummingbird,4,2,17,7/17/2002
2002,14,2,P,Hour,60,Hummingbird,5,6,26,7/17/2002
2002,14,2,P,Hour,60,Hummingbird,10,3,25,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,2,1,16,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,5,3,7,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,8,2,6,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,6,6,17,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,12,2,14,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,13,8,3,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,12,13,14,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,26,2,13,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,6,2,17,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,3,2,12,7/17/2002
2002,14,2,V,Hour,60,Hummingbird,8,2,6,7/17/2002
2002,15,2,V,Hour,60,Hummingbird,3,2,21,7/19/2002
2002,15,2,V,Hour,60,Hummingbird,12,4,3,7/19/2002
2002,15,2,V,Hour,60,Hummingbird,5,4,6,7/19/2002
2002,15,2,P,Hour,60,Hummingbird,2,2,29,7/19/2002
2002,15,2,P,Hour,60,Hummingbird,6,5,25,7/19/2002
2002,15,2,P,Hour,60,Hummingbird,5,3,11,7/19/2002
2002,16,2,V,Hour,60,Hummingbird,1,1,21,7/22/2002
2002,16,2,V,Hour,60,Hummingbird,5,5,12,7/22/2002
2002,16,2,V,Hour,60,Hummingbird,1,1,6,7/22/2002
2002,17,2,V,Hour,60,Hummingbird,3,2,7,7/24/2002
2002,17,2,V,Hour,60,Hummingbird,3,2,7,7/24/2002
